route,401,401_1,401_2,401_3,401_4,401_5,401_6,401_7,401_8,401_9,401_10,401_11,401_12,401_13,401_14,401_15,401_16,401_17,401_18,401_19,401_20,401_21,401_22,401_23,401_24,401_25,401_26,401_27,401_28,401_29,401_30,401_31,401_32,401_33,401_34,401_35,401_36,401_37,401_38,401_39,401_40,401_41,401_42,401_43,401_44,401_45,401_46,401_47,401_48,401_49,401_50,401_51,401_52,401_53,route_id,402,402_1,402_2,402_3,402_4,402_5,402_6,402_7,402_8,402_9,402_10,402_11,402_12,402_13,402_14,402_15,402_16,402_17,402_18,402_19,402_20,402_21,402_22,402_23,402_24,402_25,402_26,402_27,402_28,402_29,404,404_1,404_2,404_3,404_4,404_5,404_6,404_7,404_8,404_9,404_10,404_11,404_12,404_13,404_14,404_15,404_16,404_17,404_18,404_19,404_20,404_21,404_22,404_23,404_24,404_25,404_26,404_27,404_28,404_29,404_30,404_31,404_32,404_33,404_34,404_35,404_36,405,405_1,405_2,405_3,405_4,405_ssuo,405_5,405_so,405_6,405_ssuo_1,405_7,405_so_1,405_8,405_ssuo_2,405_9,405_10,405_11,405_12,405_13,405_14,405_15,405_16,405_17,405_18,405_19,405_20,405_21,405_22,405_23,405_24,405_25,405_26,405_27,405_28,405_ssuo_3,405_29,405_so_2,405_30,405_ssuo_4,405_31,405_so_3,405_32,405_ssuo_5,405_33,405_so_4,405_34,405_ssuo_6,405_35,405_so_5,405_36,405_ssuo_7,405_37,405_suo,405_38,405_suo_1,405_39,405_suo_2,405_40,405_suo_3,405_41,405_suo_4,405_42,405_suo_5,405_43,405_suo_6,405_44,407,407_1,407_2,407_3,407_4,407_5,407_6,407_7,407_8,407_9,407_10,407_11,407_12,407_13,407_14,407_15,407_16,407_17,407_18,407_19,407_20,407_21,407_22,407_23,407_24,407_25,407_26,407_27,407_28,407_29,409,409_1,409_2,409_3,409_so,409_4,409_5,409_6,409_7,409_8,409_9,409_10,409_11,409_12,409_13,409_14,409_15,409_16,409_17,409_18,409_19,409_20,409_21,409_22,409_23,409_24,409_25,409_26,409_suo,409_27,409_28,409_29,409_suo_1,409_30,409_31,409_32,409_suo_2,409_33,409_34,409_35,409_suo_3,409_36,409_37,409_38,409_suo_4,409_39,409_40,409_41,409_suo_5,409_42,409_43,409_44,409_suo_6,409_45,409_46,409_47,409_suo_7,409_48,409_49,409_50,409_suo_8,409_51,409_52,409_53,409_suo_9,409_54,409_55,409_56,409_suo_10,409_57,409_58,409_59,409_suo_11,409_60,409_61,409_62,409_suo_12,409_63,409_64,409_65,409_suo_13,409_66,409_67,409_fo,409_tho,409_so_1,409_suo_14,409_fo_1,409_68,409_69,409_70,409_suo_15,409_71,409_72,409_73,409_suo_16,409_74,409_75,409_76,409_77,409_78,409_79,409_80,409_81,409_82,409_83,409_84,409_85,409_86,409_87,409_88,409_89,409_90,409_91,409_92,409_93
Dublin Rd (Opp Castlegar Complex),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:13,06:28,06:43,06:59,07:01,07:13,07:24,07:34,07:43,07:57,08:07,08:13,08:27,08:37,08:43,08:57,09:07,09:13,09:24,09:34,09:43,09:57,10:05,10:13,10:25,10:35,10:43,10:55,10:58,11:05,11:14,11:26,11:29,11:36,11:44,11:57,11:59,12:07,12:14,12:27,12:29,12:37,12:44,12:57,12:59,13:08,13:14,13:28,13:29,13:38,13:44,13:58,13:59,14:12,14:14,14:30,14:29,14:40,14:44,15:00,14:59,15:10,15:14,15:37,15:29,15:46,15:44,16:06,15:59,16:16,16:14,16:35,16:29,16:51,16:44,17:13,16:59,17:23,17:14,17:41,17:29,17:51,17:44,18:07,18:07,17:55,17:59,18:07,18:07,18:14,18:32,18:29,18:38,18:44,18:58,18:59,19:06,19:14,19:29,19:44,19:59,20:14,20:29,20:44,20:59,21:14,21:29,21:44,21:59,22:13,22:28,22:43,22:58,23:13,23:28,23:43
Doughiska Rd (An Fiodan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:15,06:30,06:45,07:01,07:02,07:15,07:26,07:36,07:45,07:59,08:09,08:15,08:29,08:39,08:45,08:59,09:09,09:15,09:26,09:36,09:45,09:58,10:07,10:15,10:27,10:37,10:45,10:57,11:00,11:07,11:16,11:27,11:31,11:37,11:46,11:58,12:01,12:08,12:16,12:28,12:31,12:38,12:46,12:58,13:01,13:10,13:16,13:30,13:31,13:40,13:46,14:00,14:01,14:14,14:16,14:32,14:31,14:42,14:46,15:02,15:01,15:12,15:16,15:39,15:31,15:48,15:46,16:08,16:01,16:18,16:16,16:37,16:31,16:53,16:46,17:15,17:01,17:25,17:16,17:43,17:31,17:53,17:46,18:09,18:09,17:56,18:01,18:09,18:09,18:16,18:34,18:31,18:40,18:46,19:00,19:01,19:07,19:16,19:31,19:46,20:01,20:16,20:31,20:46,21:01,21:16,21:31,21:46,22:01,22:15,22:30,22:45,23:00,23:15,23:30,23:45
Doughiska Rd (Amber Hse Hotel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:15,06:30,06:45,07:02,07:02,07:16,07:27,07:37,07:46,08:00,08:10,08:16,08:30,08:40,08:46,09:00,09:10,09:16,09:27,09:37,09:46,09:59,10:07,10:16,10:27,10:37,10:46,10:57,11:01,11:07,11:17,11:28,11:32,11:38,11:47,11:59,12:02,12:09,12:17,12:29,12:32,12:39,12:47,12:59,13:02,13:11,13:17,13:31,13:32,13:41,13:47,14:01,14:02,14:15,14:17,14:33,14:32,14:43,14:47,15:03,15:02,15:13,15:17,15:40,15:32,15:49,15:47,16:09,16:02,16:19,16:17,16:38,16:32,16:54,16:47,17:16,17:02,17:26,17:17,17:44,17:32,17:54,17:47,18:10,18:10,17:57,18:02,18:10,18:10,18:17,18:35,18:32,18:41,18:47,19:01,19:02,19:08,19:17,19:32,19:47,20:02,20:17,20:32,20:47,21:02,21:17,21:32,21:47,22:02,22:16,22:31,22:46,23:01,23:16,23:31,23:46
Doughiska Rd (Merlin Woods Prm Sch),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:16,06:31,06:46,07:03,07:03,07:16,07:28,07:38,07:46,08:00,08:10,08:16,08:31,08:41,08:46,09:00,09:10,09:16,09:28,09:38,09:46,10:00,10:08,10:16,10:28,10:38,10:46,10:58,11:01,11:08,11:18,11:29,11:33,11:39,11:48,12:00,12:03,12:10,12:18,12:30,12:33,12:40,12:48,13:00,13:03,13:11,13:18,13:31,13:33,13:41,13:48,14:01,14:03,14:15,14:18,14:34,14:33,14:44,14:48,15:04,15:03,15:14,15:18,15:41,15:33,15:50,15:48,16:10,16:03,16:20,16:18,16:39,16:33,16:55,16:48,17:17,17:03,17:27,17:18,17:45,17:33,17:55,17:48,,,17:58,18:03,18:11,18:11,18:18,18:35,18:33,18:41,18:48,19:01,19:03,19:09,19:18,19:33,19:48,20:03,20:18,20:33,20:48,21:03,21:18,21:33,21:48,22:03,22:16,22:31,22:46,23:01,23:16,23:31,23:46
Doughiska Rd (Nestors Centra),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:16,06:31,06:46,07:03,07:03,07:17,07:28,07:38,07:47,08:01,08:11,08:17,08:31,08:41,08:47,09:01,09:11,09:17,09:28,09:38,09:47,10:00,10:08,10:17,10:28,10:38,10:47,10:58,11:02,11:08,11:18,11:29,11:33,11:39,11:48,12:00,12:03,12:10,12:18,12:30,12:34,12:40,12:49,13:00,13:04,13:12,13:19,13:32,13:34,13:42,13:49,14:02,14:04,14:16,14:19,14:34,14:34,14:44,14:49,15:04,15:04,15:14,15:19,15:41,15:34,15:51,15:49,16:11,16:04,16:21,16:19,16:40,16:34,16:56,16:49,17:18,17:04,17:28,17:19,17:46,17:34,17:56,17:49,,,17:58,18:04,18:11,18:11,18:19,18:36,18:33,18:42,18:48,19:02,19:04,19:09,19:19,19:34,19:49,20:04,20:19,20:34,20:49,21:04,21:19,21:34,21:49,22:04,22:17,22:32,22:47,23:02,23:17,23:32,23:47
Doughiska Rd (NCT Entrance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:17,06:32,06:47,07:04,07:04,07:17,07:29,07:39,07:47,08:01,08:11,08:17,08:32,08:42,08:47,09:01,09:11,09:17,09:29,09:39,09:47,10:01,10:09,10:17,10:29,10:39,10:47,10:59,11:02,11:09,11:19,11:30,11:34,11:40,11:49,12:01,12:04,12:11,12:19,12:31,12:35,12:41,12:50,13:01,13:05,13:12,13:20,13:32,13:35,13:42,13:50,14:02,14:05,14:17,14:20,14:35,14:35,14:45,14:50,15:05,15:05,15:15,15:20,15:42,15:35,15:52,15:50,16:12,16:05,16:22,16:20,16:41,16:35,16:57,16:50,17:19,17:05,17:29,17:20,17:47,17:35,17:57,17:50,18:12,,17:59,18:05,,18:12,18:20,18:37,18:34,18:42,18:49,19:02,19:05,19:10,19:20,19:35,19:50,20:05,20:20,20:35,20:50,21:05,21:20,21:35,21:50,22:05,22:17,22:32,22:47,23:02,23:17,23:32,23:47
Doughiska Rd (Op Brierhill Shop Cen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:17,06:32,06:47,07:05,07:04,07:18,07:30,07:40,07:48,08:02,08:12,08:18,08:33,08:43,08:48,09:02,09:12,09:18,09:30,09:40,09:48,10:02,10:09,10:18,10:29,10:39,10:48,10:59,11:03,11:09,11:20,11:30,11:35,11:40,11:50,12:01,12:05,12:11,12:20,12:31,12:36,12:41,12:51,13:01,13:06,13:13,13:21,13:33,13:36,13:43,13:51,14:03,14:06,14:18,14:21,14:36,14:36,14:46,14:51,15:06,15:06,15:16,15:21,15:43,15:36,15:53,15:51,16:13,16:06,16:23,16:21,16:42,16:36,16:58,16:51,17:20,17:06,17:30,17:21,17:48,17:36,17:58,17:51,18:13,,17:59,18:06,,18:13,18:21,18:38,18:35,18:43,18:50,19:03,19:06,19:10,19:21,19:36,19:51,20:06,20:21,20:36,20:51,21:06,21:21,21:36,21:51,22:06,22:18,22:33,22:48,23:03,23:18,23:33,23:48
Ballybrit Crescent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:20,06:35,06:50,07:09,07:06,07:20,07:34,07:44,07:50,08:07,08:17,08:20,08:41,08:51,08:50,09:07,09:17,09:20,09:34,09:44,09:50,10:05,10:12,10:20,10:32,10:42,10:50,11:02,11:05,11:12,11:23,11:33,11:38,11:43,11:53,12:04,12:08,12:14,12:23,12:34,12:39,12:44,12:54,13:04,13:09,13:17,13:24,13:37,13:39,13:47,13:54,14:07,14:09,14:21,14:24,14:42,14:39,14:52,14:54,15:12,15:09,15:22,15:24,15:47,15:39,15:59,15:54,16:19,16:09,16:29,16:24,16:48,16:39,17:03,16:54,17:25,17:09,17:35,17:24,17:53,17:39,18:03,17:54,18:17,18:17,18:04,18:09,18:21,18:21,18:24,18:41,18:38,18:47,18:53,19:07,19:08,19:13,19:23,19:38,19:53,20:08,20:23,20:38,20:53,21:08,21:23,21:38,21:53,22:08,22:20,22:35,22:50,23:05,23:20,23:35,23:50
Ballybrit Crescent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:21,06:36,06:51,07:10,07:07,07:21,07:35,07:45,07:51,08:08,08:18,08:21,08:42,08:52,08:51,09:08,09:18,09:21,09:35,09:45,09:51,10:06,10:13,10:21,10:33,10:43,10:51,11:03,11:06,11:13,11:24,11:34,11:39,11:44,11:54,12:05,12:09,12:15,12:24,12:35,12:40,12:45,12:55,13:05,13:10,13:18,13:25,13:38,13:40,13:48,13:55,14:08,14:10,14:22,14:25,14:42,14:40,14:52,14:55,15:12,15:10,15:22,15:25,15:48,15:40,16:00,15:55,16:20,16:10,16:30,16:25,16:49,16:40,17:03,16:55,17:26,17:10,17:36,17:25,17:53,17:40,18:03,17:55,18:18,18:18,18:04,18:10,18:22,18:22,18:25,18:42,18:39,18:48,18:54,19:08,19:09,19:14,19:24,19:39,19:54,20:09,20:24,20:39,20:54,21:09,21:24,21:39,21:54,22:09,22:21,22:36,22:51,23:06,23:21,23:36,23:51
Parkmore Rd (Parkmore Ind Est),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:22,06:37,06:52,07:11,07:07,07:22,07:36,07:46,07:52,08:09,08:19,08:22,08:42,08:52,08:52,09:09,09:19,09:22,09:36,09:46,09:52,10:06,10:13,10:22,10:33,10:43,10:52,11:03,11:07,11:13,11:24,11:34,11:39,11:44,11:54,12:05,12:09,12:15,12:24,12:35,12:41,12:45,12:56,13:05,13:11,13:18,13:26,13:38,13:41,13:48,13:56,14:08,14:11,14:22,14:26,14:43,14:41,14:53,14:56,15:13,15:11,15:23,15:26,15:48,15:41,16:00,15:56,16:20,16:11,16:30,16:26,16:49,16:41,17:04,16:56,17:26,17:11,17:36,17:26,17:54,17:41,18:04,17:56,18:18,18:18,18:05,18:11,18:22,18:22,18:26,18:42,18:39,18:48,18:54,19:08,19:09,19:14,19:24,19:39,19:54,20:09,20:24,20:39,20:54,21:09,21:24,21:39,21:54,22:09,22:22,22:37,22:52,23:07,23:22,23:37,23:52
Medtronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:24,06:39,06:54,07:14,07:09,07:23,07:39,07:49,07:53,08:12,08:22,08:23,08:45,08:55,08:53,09:12,09:22,09:23,09:39,09:49,09:53,10:08,10:15,10:23,10:35,10:45,10:53,11:05,11:08,11:15,11:26,11:37,11:41,11:47,11:56,12:08,12:11,12:18,12:26,12:38,12:42,12:48,12:57,13:08,13:12,13:20,13:27,13:40,13:42,13:50,13:58,14:10,14:13,14:24,14:28,14:45,14:43,14:55,14:58,15:15,15:13,15:25,15:29,15:50,15:44,16:02,15:59,16:22,16:13,16:32,16:27,16:53,16:42,17:06,16:57,17:28,17:12,17:38,17:28,17:56,17:43,18:06,17:58,18:20,18:20,18:07,18:13,18:25,18:25,18:27,18:44,18:41,18:50,18:56,19:10,19:11,19:17,19:26,19:41,19:56,20:11,20:26,20:41,20:56,21:11,21:26,21:41,21:56,22:11,22:23,22:38,22:53,23:08,23:23,23:38,23:53
Celestica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:25 D,06:40 D,06:55 D,07:17 D,07:10 D,07:25 D,07:42 D,07:52 D,07:55 D,08:14 D,08:24 D,08:25 D,08:47 D,08:57 D,08:55 D,09:14 D,09:24 D,09:25 D,09:42 D,09:52 D,09:55 D,10:10 D,10:17 D,10:25 D,10:37 D,10:47 D,10:55 D,11:07 D,11:10 D,11:17 D,11:28 D,11:39 D,11:43 D,11:49 D,11:58 D,12:10 D,12:13 D,12:20 D,12:28 D,12:40 D,12:44 D,12:50 D,12:59 D,13:10 D,13:14 D,13:22 D,13:29 D,13:42 D,13:44 D,13:52 D,14:00 D,14:12 D,14:15 D,14:25 D,14:30 D,14:47 D,14:45 D,14:57 D,15:00 D,15:17 D,15:15 D,15:27 D,15:32 D,15:52 D,15:47 D,16:04 D,16:02 D,16:24 D,16:15 D,16:34 D,16:29 D,16:56 D,16:44 D,17:07 D,16:59 D,17:30 D,17:14 D,17:40 D,17:30 D,17:57 D,17:45 D,18:07 D,18:00 D,18:22 D,18:22 D,18:09 D,18:15 D,18:27 D,18:27 D,18:29 D,18:45 D,18:43 D,18:52 D,18:58 D,19:12 D,19:12 D,19:19 D,19:27 D,19:42 D,19:57 D,20:12 D,20:27 D,20:42 D,20:57 D,21:12 D,21:27 D,21:42 D,21:57 D,22:12 D,22:25 D,22:40 D,22:55 D,23:10 D,23:25 D,23:40 D,23:55 D
